owner,repo,contributor,commits
tidyverse,blob,krlmlr,46
tidyverse,blob,hadley,20
tidyverse,blob,jimhester,1
tidyverse,dbplyr,hadley,1701
tidyverse,dbplyr,romainfrancois,647
tidyverse,dbplyr,krlmlr,119
tidyverse,dbplyr,lionel-,100
tidyverse,dbplyr,edgararuiz,31
tidyverse,dbplyr,hannesmuehleisen,24
tidyverse,dbplyr,lindbrook,17
tidyverse,dbplyr,jimhester,15
tidyverse,dbplyr,batpigandme,10
tidyverse,dbplyr,kevinushey,10
tidyverse,dbplyr,ilarischeinin,7
tidyverse,dbplyr,javierluraschi,7
tidyverse,dbplyr,sfirke,6
tidyverse,dbplyr,cosinequanon,6
tidyverse,dbplyr,leondutoit,5
tidyverse,dbplyr,arunsrinivasan,4
tidyverse,dbplyr,eibanez,4
tidyverse,dbplyr,pimentel,4
tidyverse,dbplyr,zeehio,4
tidyverse,dbplyr,jennybc,4
tidyverse,dbplyr,rbdixon,3
tidyverse,dbplyr,imanuelcostigan,3
tidyverse,dbplyr,austenhead,3
tidyverse,dbplyr,DavisVaughan,2
tidyverse,dbplyr,earino,2
tidyverse,dbplyr,edwindj,2
tidyverse,dbplyr,ianmcook,2
tidyverse,dbplyr,kevinykuo,2
tidyverse,dbplyr,justmarkham,2
tidyverse,dbplyr,zozlak,2
tidyverse,dbplyr,mkuhn,2
tidyverse,dbplyr,uribo,2
tidyverse,dbplyr,xiaodaigh,2
tidyverse,dbplyr,shabbybanks,2
tidyverse,dbplyr,aaronwolen,1
tidyverse,dbplyr,ateucher,1
tidyverse,dbplyr,cpsievert,1
tidyverse,dbplyr,ajdamico,1
tidyverse,dbplyr,cjyetman,1
tidyverse,dbplyr,chappers,1
tidyverse,dbplyr,cwarden,1
tidyverse,dbplyr,chrMongeau,1
tidyverse,dbplyr,cderv,1
tidyverse,dbplyr,craigcitro,1
tidyverse,dbplyr,denismaciel,1
tidyverse,dbplyr,dpprdan,1
tidyverse,dbplyr,davidkretch,1
tidyverse,dbplyr,dgrtwo,1
tidyverse,dbplyr,cb4ds,1
tidyverse,dbplyr,ethanwhite,1
tidyverse,dbplyr,saurfang,1
tidyverse,dbplyr,FvD,1
tidyverse,dbplyr,garrettgman,1
tidyverse,dbplyr,nachti,1
tidyverse,dbplyr,gergness,1
tidyverse,dbplyr,gregrahn,1
tidyverse,dbplyr,itcarroll,1
tidyverse,dbplyr,JasonAizkalns,1
tidyverse,dbplyr,jrnold,1
