owner,repo,watchers,downloads,revdep,revdep_hard,release,release_maj,release_1st
tidyverse,googlesheets4,104,2251,NA,NA,36,36,36
r-lib,cleancall,13,257,NA,NA,204,204,204
r-lib,credentials,24,1281,2,2,273,273,277
r-lib,devoid,16,237,NA,NA,221,221,221
r-lib,fastmap,78,436111,2,2,63,135,135
r-lib,gargle,65,33113,7,5,67,67,190
r-lib,gert,54,567,NA,NA,42,42,174
r-lib,lifecycle,21,731569,16,15,131,131,131
r-lib,pak,191,419,NA,NA,294,NA,294
r-lib,ragg,68,475,2,0,104,148,148
r-lib,roxygen2md,55,266,NA,NA,176,176,176
r-lib,rray,104,226,NA,NA,140,140,140
r-lib,systemfonts,35,41538,2,2,162,165,165
r-lib,vroom,344,1995,3,3,153,220,220
r-lib,ymlthis,101,405,1,1,22,69,69
tidymodels,butcher,30,333,NA,NA,123,123,123
tidymodels,discrim,9,560,NA,NA,60,NA,60
tidymodels,modeldata,4,35,NA,NA,4,NA,4
