owner,repo,number,title,comments,pr,bug,feature,unlabelled,reaction_p1,reaction_other
tidyverse,purrr,149,Progress bars,28,FALSE,FALSE,TRUE,FALSE,30,0
tidyverse,purrr,121,Does purrr need to support backends?,8,FALSE,FALSE,TRUE,FALSE,30,0
tidyverse,dplyr,2240,join_by(): Syntax for generic joins,7,FALSE,FALSE,TRUE,FALSE,29,1
tidyverse,dplyr,3259,bind_rows() using tibbles with attributes loses attributes,6,FALSE,FALSE,TRUE,FALSE,18,2
tidyverse,tidyr,426,Duplicate identifiers for rows in `spread`,8,FALSE,FALSE,FALSE,TRUE,15,0
tidyverse,dplyr,2326,Single table verbs should accept tibbles in conditions,13,FALSE,FALSE,TRUE,FALSE,14,0
tidymodels,broom,128,Include methods for the `train` class from caret,1,FALSE,FALSE,FALSE,FALSE,13,0
tidyverse,dplyr,2432,Better support combining for non-base types,9,FALSE,FALSE,FALSE,FALSE,11,0
tidyverse,readr,653,write_csv should have option to quote character variables,1,FALSE,FALSE,TRUE,FALSE,11,0
hadley,rvest,175,Should html_text handle <br> as new line char or whitespace?,4,FALSE,FALSE,FALSE,TRUE,10,0
tidyverse,readr,610,Reading from connections,6,FALSE,FALSE,TRUE,FALSE,8,0
tidyverse,readxl,278,Support reading from more general inputs,10,FALSE,FALSE,FALSE,FALSE,8,1
tidyverse,tidyr,474,Adding aggregation parameter to spread() to manage multiple values for the same key,0,FALSE,FALSE,FALSE,TRUE,8,0
r-lib,testthat,659,Vignette on using testthat outside the context of a package,12,FALSE,FALSE,FALSE,FALSE,8,0
r-lib,testthat,486,FR: Run tests in parallel,2,FALSE,FALSE,TRUE,FALSE,8,0
tidyverse,modelr,38,Add prediction interval to add_predictions,8,FALSE,FALSE,FALSE,TRUE,7,0
tidyverse,tidyr,379,Consider implementations for SQL backends,2,FALSE,FALSE,TRUE,FALSE,7,0
tidyverse,tidyr,150,Implement multi-gather,6,FALSE,FALSE,TRUE,FALSE,7,7
jimhester,lintr,263,Add ALE to the README if you want,0,FALSE,FALSE,FALSE,TRUE,7,0
tidyverse,dplyr,3210,`left_join()` with `bit64` columns translates `NA` incorrectly,4,FALSE,FALSE,FALSE,FALSE,6,0
tidyverse,dplyr,2047,FR: `before` and `after` arguments to mutate(),20,FALSE,FALSE,TRUE,FALSE,6,0
tidyverse,dplyr,1792,set_key,3,FALSE,FALSE,TRUE,FALSE,6,0
tidyverse,forcats,16,Feature request: Order factor by (multiple functions of) multiple variables,8,FALSE,FALSE,TRUE,FALSE,6,0
tidyverse,ggplot2,2743,Use markdown for italic/bold in titles,7,FALSE,FALSE,TRUE,FALSE,6,0
tidyverse,haven,194,Chunked API,1,FALSE,FALSE,TRUE,FALSE,6,4
tidyverse,tidyr,203,NA handling in unite,13,FALSE,FALSE,TRUE,FALSE,6,0
r-lib,styler,247,Enforcing a 80-character line length rule?,14,FALSE,FALSE,FALSE,FALSE,6,0
r-lib,testthat,657,Vignette for using Reporters,2,FALSE,FALSE,FALSE,FALSE,6,0
tidyverse,purrr,389,Add slowly() adverb,3,FALSE,FALSE,TRUE,FALSE,5,0
tidyverse,readr,633,support for 64 bits integer using bit64 and integer64,0,FALSE,FALSE,TRUE,FALSE,5,0
tidyverse,readr,306,Support multibyte encodings (e.g. UTF-16LE),7,FALSE,FALSE,TRUE,FALSE,5,0
tidyverse,readr,303,Write/read simple list-columns?,11,FALSE,FALSE,TRUE,FALSE,5,0
r-dbi,RMySQL,224,Unable to install RMySQL on macOS 10.13.6,6,FALSE,FALSE,FALSE,TRUE,5,0
hadley,multidplyr,57,multidplyr throws warning when used with dplyr 0.7.0,2,FALSE,FALSE,FALSE,TRUE,5,0
jimhester,lintr,192,commas_linter.R,2,FALSE,FALSE,FALSE,TRUE,5,0
klutometis,roxygen,792,Where is a comprehensive list of roxygen tags?,2,FALSE,FALSE,FALSE,TRUE,5,0
tidyverse,dplyr,3695,Reinstate support for filtering and arranging lubridate Periods and Intervals,4,FALSE,FALSE,FALSE,TRUE,4,0
tidyverse,ggplot2,2252,"geom_sf(): ""polygon edge not found"" intermittent error",41,FALSE,TRUE,FALSE,FALSE,4,0
tidyverse,purrr,357,Should purrr re-export zeallot::%<-% ?,0,FALSE,FALSE,TRUE,FALSE,4,1
tidyverse,readxl,355,option to repeat value in merged cells,1,FALSE,FALSE,TRUE,FALSE,4,0
tidyverse,tidyr,149,Implement multi-spread,3,FALSE,FALSE,TRUE,FALSE,4,0
r-lib,usethis,353,use_addins(),2,FALSE,FALSE,TRUE,FALSE,4,0
r-dbi,bigrquery,266,Add support for bigint argument to `dbConnect` and `bq_table_download`,0,TRUE,FALSE,FALSE,FALSE,4,0
r-dbi,odbc,177,Switch to change default Timezone behaviour,0,FALSE,FALSE,TRUE,FALSE,4,0
r-dbi,RMySQL,193,RMySQL system error: 10060,8,FALSE,FALSE,FALSE,FALSE,4,0
r-dbi,RPostgres,181,SSL dbConnect Failing,4,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,broom,484,Announcement: The State of Broom,0,FALSE,FALSE,FALSE,TRUE,4,0
tidymodels,broom,159,tidy method for xgboost,0,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,broom,158,Clarity regarding GLM,2,FALSE,FALSE,FALSE,FALSE,4,0
tidymodels,broom,124,no .resid column with augment.lm and newdata,5,FALSE,FALSE,FALSE,FALSE,4,0
