repo,downloads,monthly_dls
rlang,906273,906273
ggplot2,801516,801516
dplyr,679269,679269
glue,634176,634176
stringr,585964,585964
cli,566618,566618
tibble,559988,559988
R6,556379,556379
pillar,555159,555159
crayon,519657,519657
magrittr,498950,498950
scales,486794,486794
tidyselect,446338,446338
withr,442932,442932
pkgconfig,439780,439780
purrr,409530,409530
evaluate,408781,408781
ps,381307,381307
tidyr,378719,378719
readr,376559,376559
devtools,370430,370430
httr,365499,365499
callr,361449,361449
backports,358812,358812
gtable,357355,357355
processx,354114,354114
readxl,338999,338999
later,331046,331046
hms,324421,324421
rprojroot,321910,321910
fs,321487,321487
haven,298705,298705
lubridate,292750,292750
rcmdcheck,249161,249161
xml2,243895,243895
pkgbuild,241835,241835
forcats,241207,241207
remotes,233432,233432
dbplyr,231839,231839
tidyverse,230812,230812
usethis,227229,227229
sessioninfo,224089,224089
pkgload,221695,221695
DBI,219461,219461
gh,217061,217061
desc,214177,214177
xopen,209860,209860
clisymbols,202693,202693
memoise,202388,202388
testthat,175424,175424
reprex,160874,160874
modelr,160146,160146
zip,154905,154905
rappdirs,111041,111041
RSQLite,86203,86203
covr,84999,84999
blob,77377,77377
generics,62468,62468
progress,58745,58745
RMySQL,34682,34682
svglite,29359,29359
odbc,20107,20107
pkgdown,14643,14643
zeallot,10894,10894
here,10624,10624
pingr,9818,9818
whoami,9748,9748
bigrquery,9456,9456
rematch2,8322,8322
RPostgres,6958,6958
styler,6533,6533
debugme,5732,5732
DBItest,3851,3851
RMariaDB,3503,3503
googledrive,3320,3320
xmlparsedata,2024,2024
prettycode,1712,1712
showimage,1646,1646
filelock,1579,1579
keyring,981,981
lobstr,963,963
conflicted,761,761
bench,653,653
err,633,633
liteq,501,501
conf,440,440
sloop,383,383
io,333,333
carrier,275,275
tracer,211,211
vctrs,63,63
googlesheets4,0,0
principles,0,0
style,0,0
tidyeval,0,0
tidytemplate,0,0
ansistrings,0,0
async,0,0
cliapp,0,0
crancache,0,0
credentials,0,0
devoid,0,0
funs,0,0
gargle,0,0
ghurl,0,0
governance,0,0
httr2,0,0
httrmock,0,0
objectable,0,0
oldie,0,0
osname,0,0
pkgapi,0,0
pkgcache,0,0
pkgdepends,0,0
pkginstall,0,0
pkgman,0,0
revdepcheck,0,0
roxygen2md,0,0
tar,0,0
RKazam,0,0
SQL,0,0
