owner,repo,watchers,downloads,revdep,revdep_hard,release,release_maj,release_1st
tidyverse,ggplot2,4972,1745088,3499,2485,4,481,5142
tidyverse,dplyr,3769,1434633,2812,2234,10,396,2721
r-lib,devtools,2079,896572,344,68,22,83,3660
topepo,caret,1343,155789,197,136,45,45,5016
tidyverse,rvest,1269,546320,696,564,112,112,2412
tidyverse,rvest,1269,546320,696,564,112,112,2412
tidyverse,rvest,1269,546320,696,564,112,112,2412
tidyverse,rvest,1269,546320,696,564,112,112,2412
tidymodels,broom,1141,794104,166,101,5,355,2410
tidyverse,tidyverse,1064,632136,163,64,75,586,1754
tidyverse,tidyr,1022,881890,1266,993,118,405,2535
tidyverse,purrr,973,655977,1054,943,438,884,2101
r-lib,httr,903,763765,882,805,343,931,3341
jimhester,lintr,857,28392,88,5,496,637,2402
tidyverse,magrittr,848,997424,1685,1455,224,2411,2681
tidyverse,readr,846,632237,480,374,267,267,2274
r-lib,testthat,737,430443,5991,83,12,241,4242
r-lib,usethis,627,240009,112,58,139,201,1346
tidyverse,readxl,597,442329,199,141,839,865,2268
tidyverse,reprex,592,482506,3,1,88,88,1631
tidymodels,infer,589,35312,3,2,167,641,1268
r-lib,pkgdown,560,844937,98,1,290,295,1153
tidyverse,lubridate,557,797665,582,488,123,1339,3971
tidyverse,glue,531,917764,394,354,306,452,1534
tidyverse,multidplyr,526,680,,,141,141,141
tidyverse,multidplyr,526,680,,,141,141,141
tidyverse,multidplyr,526,680,,,141,141,141
tidyverse,multidplyr,526,680,,,141,141,141
tidymodels,corrr,507,6507,3,1,217,718,1817
r-lib,vroom,495,20214,21,14,7,15,787
tidyverse,dtplyr,489,496148,24,12,129,129,1828
tidyverse,dtplyr,489,496148,24,12,129,129,1828
tidyverse,dtplyr,489,496148,24,12,129,129,1828
tidyverse,dtplyr,489,496148,24,12,129,129,1828
hadley,plyr,481,376979,795,701,483,3127,4655
r-lib,styler,480,51249,22,9,91,98,1296
tidymodels,tidymodels,475,36801,12,0,71,499,1068
r-lib,actions,457,0,,,,,
r-lib,roxygen2,453,178600,1324,92,367,475,3629
r-lib,roxygen2,453,178600,1324,92,367,475,3629
r-lib,roxygen2,453,178600,1324,92,367,475,3629
r-lib,roxygen2,453,178600,1324,92,367,475,3629
tidyverse,forcats,450,586475,166,115,153,485,1765
r-dbi,bigrquery,443,7303,4,3,267,417,2359
tidyverse,tibble,423,1154021,1296,1105,44,124,1925
tidyverse,stringr,419,697688,1332,1205,870,870,4250
tidymodels,parsnip,396,43108,37,22,33,446,960
tidyverse,modelr,375,358026,13,6,406,1763,1763
tidymodels,recipes,366,140701,172,92,74,1433,1433
tidymodels,recipes,366,140701,172,92,74,1433,1433
tidymodels,recipes,366,140701,172,92,74,1433,1433
tidymodels,recipes,366,140701,172,92,74,1433,1433
r-lib,progress,364,350591,178,146,775,1111,2222
hadley,emo,341,0,,,,,
tidyverse,haven,336,499123,89,63,67,76,2312
r-lib,cli,336,1045394,195,175,64,64,1332
r-lib,pak,336,2891,2,0,221,,861
r-lib,rlang,325,1703086,1261,1207,59,735,1515
r-lib,R6,315,602784,376,356,244,244,2539
tidyverse,dbplyr,298,533420,61,28,84,146,1481
r-dbi,odbc,295,71807,20,8,87,245,1605
r-lib,here,291,41978,56,21,198,226,1493
r-lib,covr,290,148586,1685,8,286,480,2232
r-lib,fs,289,426910,121,94,333,333,1257
hadley,bigvis,282,0,,,,,
tidymodels,TMwR,273,0,,,,,
r-lib,scales,270,507380,2464,1804,413,589,3568
r-lib,scales,270,507380,2464,1804,413,589,3568
r-lib,scales,270,507380,2464,1804,413,589,3568
