owner,repo,watchers,downloads,revdep,revdep_hard,release,release_maj,release_1st,cran_urls
tidyverse,ggplot2,4972,1745088,3499,2485,4,481,5142,"https://ggplot2.tidyverse.org,
https://github.com/tidyverse/ggplot2"
tidyverse,dplyr,3769,1434633,2812,2234,10,396,2721,"https://dplyr.tidyverse.org, https://github.com/tidyverse/dplyr"
r-lib,devtools,2079,896572,344,68,22,83,3660,"https://devtools.r-lib.org/, https://github.com/r-lib/devtools"
topepo,caret,1343,155789,197,136,45,45,5016,https://github.com/topepo/caret/
tidyverse,rvest,1269,546320,696,564,112,112,2412,"https://rvest.tidyverse.org/, https://github.com/tidyverse/rvest"
tidymodels,broom,1141,794104,166,101,5,355,2410,"https://broom.tidymodels.org/, https://github.com/tidymodels/broom"
tidyverse,tidyverse,1064,632136,163,64,75,586,1754,"https://tidyverse.tidyverse.org,
https://github.com/tidyverse/tidyverse"
tidyverse,tidyr,1022,881890,1266,993,118,405,2535,"https://tidyr.tidyverse.org, https://github.com/tidyverse/tidyr"
tidyverse,purrr,973,655977,1054,943,438,884,2101,"http://purrr.tidyverse.org, https://github.com/tidyverse/purrr"
r-lib,httr,903,763765,882,805,343,931,3341,"https://httr.r-lib.org/, https://github.com/r-lib/httr"
jimhester,lintr,857,28392,88,5,496,637,2402,https://github.com/jimhester/lintr
tidyverse,magrittr,848,997424,1685,1455,224,2411,2681,"https://magrittr.tidyverse.org,
https://github.com/tidyverse/magrittr"
tidyverse,readr,846,632237,480,374,267,267,2274,"https://readr.tidyverse.org, https://github.com/tidyverse/readr"
r-lib,testthat,737,430443,5991,83,12,241,4242,"https://testthat.r-lib.org, https://github.com/r-lib/testthat"
r-lib,usethis,627,240009,112,58,139,201,1346,"https://usethis.r-lib.org, https://github.com/r-lib/usethis"
tidyverse,readxl,597,442329,199,141,839,865,2268,"https://readxl.tidyverse.org, https://github.com/tidyverse/readxl"
tidyverse,reprex,592,482506,3,1,88,88,1631,"https://reprex.tidyverse.org,
https://github.com/tidyverse/reprex#readme"
tidymodels,infer,589,35312,3,2,167,641,1268,"https://github.com/tidymodels/infer, https://infer.tidymodels.org/"
r-lib,pkgdown,560,844937,98,1,290,295,1153,"https://pkgdown.r-lib.org, https://github.com/r-lib/pkgdown"
tidyverse,lubridate,557,797665,582,488,123,1339,3971,"https://lubridate.tidyverse.org,
https://github.com/tidyverse/lubridate"
tidyverse,glue,531,917764,394,354,306,452,1534,"https://github.com/tidyverse/glue, https://glue.tidyverse.org/"
tidyverse,multidplyr,526,680,NA,NA,141,141,141,https://github.com/tidyverse/multidplyr
tidymodels,corrr,507,6507,3,1,217,718,1817,"https://github.com/tidymodels/corrr, https://corrr.tidymodels.org"
r-lib,vroom,495,20214,21,14,7,15,787,"https://vroom.r-lib.org, https://github.com/r-lib/vroom"
tidyverse,dtplyr,489,496148,24,12,129,129,1828,https://github.com/tidyverse/dtplyr
hadley,plyr,481,376979,795,701,483,3127,4655,"http://had.co.nz/plyr, https://github.com/hadley/plyr"
r-lib,styler,480,51249,22,9,91,98,1296,"https://github.com/r-lib/styler, https://styler.r-lib.org"
tidymodels,tidymodels,475,36801,12,0,71,499,1068,"https://tidymodels.tidymodels.org,
https://github.com/tidymodels/tidymodels"
r-lib,roxygen2,453,178600,1324,92,367,475,3629,"https://roxygen2.r-lib.org/, https://github.com/r-lib/roxygen2"
tidyverse,forcats,450,586475,166,115,153,485,1765,"https://forcats.tidyverse.org,
https://github.com/tidyverse/forcats"
r-dbi,bigrquery,443,7303,4,3,267,417,2359,https://github.com/r-dbi/bigrquery
tidyverse,tibble,423,1154021,1296,1105,44,124,1925,"https://tibble.tidyverse.org/, https://github.com/tidyverse/tibble"
tidyverse,stringr,419,697688,1332,1205,870,870,4250,"http://stringr.tidyverse.org, https://github.com/tidyverse/stringr"
tidymodels,parsnip,396,43108,37,22,33,446,960,"https://parsnip.tidymodels.org,
https://github.com/tidymodels/parsnip"
tidyverse,modelr,375,358026,13,6,406,1763,1763,"https://modelr.tidyverse.org, https://github.com/tidyverse/modelr"
tidymodels,recipes,366,140701,172,92,74,1433,1433,"https://github.com/tidymodels/recipes,
https://recipes.tidymodels.org"
r-lib,progress,364,350591,178,146,775,1111,2222,https://github.com/r-lib/progress#readme
tidyverse,haven,336,499123,89,63,67,76,2312,"https://haven.tidyverse.org, https://github.com/tidyverse/haven,
https://github.com/WizardMac/ReadStat"
r-lib,cli,336,1045394,195,175,64,64,1332,https://github.com/r-lib/cli#readme
r-lib,pak,336,2891,2,0,221,NA,861,https://pak.r-lib.org/
r-lib,rlang,325,1703086,1261,1207,59,735,1515,"https://rlang.r-lib.org, https://github.com/r-lib/rlang"
r-lib,R6,315,602784,376,356,244,244,2539,"https://r6.r-lib.org, https://github.com/r-lib/R6/"
tidyverse,dbplyr,298,533420,61,28,84,146,1481,"https://dbplyr.tidyverse.org/, https://github.com/tidyverse/dbplyr"
r-dbi,odbc,295,71807,20,8,87,245,1605,"https://github.com/r-dbi/odbc, https://db.rstudio.com"
r-lib,here,291,41978,56,21,198,226,1493,"https://here.r-lib.org/, https://github.com/r-lib/here"
r-lib,covr,290,148586,1685,8,286,480,2232,"https://covr.r-lib.org, https://github.com/r-lib/covr"
r-lib,fs,289,426910,121,94,333,333,1257,"http://fs.r-lib.org, https://github.com/r-lib/fs"
r-lib,scales,270,507380,2464,1804,413,589,3568,"https://scales.r-lib.org, https://github.com/r-lib/scales"
tidymodels,yardstick,268,44939,80,52,93,NA,1325,"https://github.com/tidymodels/yardstick,
https://yardstick.tidymodels.org"
r-lib,memoise,265,242494,87,79,154,154,3952,https://github.com/r-lib/memoise
r-lib,crayon,257,891765,284,222,141,150,2471,https://github.com/r-lib/crayon#readme
r-dbi,RPostgres,256,30914,17,5,78,173,1301,"https://rpostgres.r-dbi.org, https://github.com/r-dbi/RPostgres"
r-lib,lobstr,254,16152,4,1,727,741,968,https://github.com/r-lib/lobstr
tidymodels,rsample,253,70203,116,80,52,52,1452,"https://rsample.tidymodels.org,
https://github.com/tidymodels/rsample"
tidyverse,googlesheets4,250,495833,4,3,117,117,603,https://github.com/tidyverse/googlesheets4
r-dbi,RSQLite,244,109234,164,83,68,539,7178,"https://rsqlite.r-dbi.org, https://github.com/r-dbi/RSQLite"
r-lib,remotes,234,409448,55,23,27,27,1754,"https://remotes.r-lib.org, https://github.com/r-lib/remotes#readme"
tidymodels,tidypredict,233,2256,2,2,244,718,1259,"https://tidypredict.tidymodels.org,
https://github.com/tidymodels/tidypredict"
r-dbi,DBI,224,356473,220,166,165,562,7132,"https://dbi.r-dbi.org, https://github.com/r-dbi/DBI"
tidyverse,googledrive,220,499974,9,3,420,680,1401,"https://googledrive.tidyverse.org,
https://github.com/tidyverse/googledrive"
r-lib,zeallot,216,63457,15,10,1248,1248,1614,https://github.com/nteetor/zeallot
r-lib,vctrs,210,1472815,135,109,61,413,943,https://vctrs.r-lib.org/
r-lib,gmailr,209,10501,12,4,676,676,2530,https://github.com/r-lib/gmailr
r-lib,callr,208,801747,75,39,70,70,1837,"https://callr.r-lib.org, https://github.com/r-lib/callr#readme"
jennybc,gapminder,205,23822,23,3,1337,1337,2296,"https://github.com/jennybc/gapminder,
http://www.gapminder.org/data/,
https://doi.org/10.5281/zenodo.594018"
tidymodels,stacks,203,586,NA,NA,70,70,218,"https://stacks.tidymodels.org/,
https://github.com/tidymodels/stacks"
jimhester,lookup,200,700,NA,NA,76,76,76,https://kwstat.github.io/lookup/
r-lib,bench,198,15691,17,1,532,536,1129,https://github.com/r-lib/bench
hadley,reshape,197,129339,122,98,980,5106,5807,http://had.co.nz/reshape
r-lib,conflicted,194,37579,10,2,738,1018,1125,https://github.com/r-lib/conflicted
r-dbi,RMySQL,194,114352,24,12,7,2367,7816,https://downloads.mariadb.org/connector-c/ (upstream)
lionel-,ggstance,190,14679,12,8,194,1686,1686,https://github.com/lionel-/ggstance
r-lib,xml2,188,551307,453,362,432,454,2262,"https://xml2.r-lib.org/, https://github.com/r-lib/xml2"
r-lib,processx,174,817289,52,34,60,98,1491,"https://processx.r-lib.org,
https://github.com/r-lib/processx#readme"
hadley,assertthat,174,233224,280,274,831,1540,2763,NA
r-lib,waldo,170,353711,9,3,113,351,439,https://github.com/r-lib/waldo
r-lib,gh,159,203161,17,13,60,60,1444,"https://gh.r-lib.org/, https://github.com/r-lib/gh#readme"
r-lib,vdiffr,152,32770,528,0,11,21,1694,"https://vdiffr.r-lib.org/, https://github.com/r-lib/vdiffr"
tidymodels,tune,152,34838,12,10,67,453,504,"https://github.com/tidymodels/tune, https://tune.tidymodels.org"
r-lib,keyring,147,4726,19,13,62,62,1389,"https://r-lib.github.io/keyring/index.html,
https://github.com/r-lib/keyring#readme"
r-lib,svglite,144,83540,32,11,129,129,2030,"https://svglite.r-lib.org, https://github.com/r-lib/svglite"
r-lib,cpp11,136,857153,21,1,4,323,354,https://github.com/r-lib/cpp11
r-lib,ragg,136,1034112,16,4,20,134,715,"https://ragg.r-lib.org, https://github.com/r-lib/ragg"
