Package,Title,Version,Authors@R,Description,License,Encoding,LazyData,URL,BugReports,RoxygenNote,NeedsCompilation,Packaged,Author,Maintainer,Repository,Date/Publication,crandb_file_date,date,MD5sum,Type,VignetteBuilder,Collate,Language,Date,LazyLoad,Roxygen,SaveImage,Extends,ByteCompile,SystemRequirements,X-CRAN-Comment,X-CRAN-Original-Maintainer,Note,Remotes,X-CRAN-Original-Package,Suggest,Copyright,Additional_repositories,Biarch,URLNote,BuildManual,MailingList,Authors,RdMacros,X-schema.org-applicationCategory,X-schema.org-keywords,X-schema.org-isPartOf,Revision,Repository/R-Forge/Project,Repository/R-Forge/Revision
blob,"A Simple S3 Class for Representing Vectors of Binary Data
('BLOBS')",1.0.0,"c(
person(""Hadley"", ""Wickham"", , ""hadley@rstudio.com"", role = c(""aut"", ""cre"")),
person(""RStudio"", role = ""cph"")
)","R's raw vector is useful for storing a single binary object.
What if you want to put a vector of them in a data frame? The blob
package provides the blob object, a list of raw vectors, suitable for
use as a column in data frame.",GPL-3,UTF-8,true,https://github.com/hadley/blob,https://github.com/hadley/blob/issues,5.0.1,no,2016-12-28 19:43:50 UTC; hadley,"Hadley Wickham [aut, cre],
RStudio [cph]",Hadley Wickham <hadley@rstudio.com>,CRAN,2016-12-29 00:17:32,2016-12-28 23:20:52,2016-12-28T23:17:32+00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blob,"A Simple S3 Class for Representing Vectors of Binary Data
('BLOBS')",1.1.0,"c(
person(""Hadley"", ""Wickham"", role = c(""aut"")),
person(""Kirill"", ""Müller"", , ""krlmlr+r@mailbox.org"", role = c(""cre"")),
person(""RStudio"", role = ""cph"")
)","R's raw vector is useful for storing a single binary object.
What if you want to put a vector of them in a data frame? The blob
package provides the blob object, a list of raw vectors, suitable for
use as a column in data frame.",GPL-3,UTF-8,true,https://github.com/hadley/blob,https://github.com/hadley/blob/issues,6.0.1,no,2017-06-17 04:01:59 UTC; muelleki,"Hadley Wickham [aut],
Kirill Müller [cre],
RStudio [cph]",Kirill Müller <krlmlr+r@mailbox.org>,CRAN,2017-06-17 14:57:46 UTC,2017-06-17 14:59:54,2017-06-17T13:57:46+00:00,1c729aca36fd5193d81b1cd5ed9d8a00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blob,"A Simple S3 Class for Representing Vectors of Binary Data
('BLOBS')",1.1.1,"c(
person(""Hadley"", ""Wickham"", role = c(""aut"")),
person(""Kirill"", ""Müller"", , ""krlmlr+r@mailbox.org"", role = c(""cre"")),
person(""RStudio"", role = ""cph"")
)","R's raw vector is useful for storing a single binary object.
What if you want to put a vector of them in a data frame? The 'blob'
package provides the blob object, a list of raw vectors, suitable for
use as a column in data frame.",GPL-3,UTF-8,true,https://github.com/tidyverse/blob,https://github.com/tidyverse/blob/issues,6.0.1.9000,no,2018-03-24 09:35:46 UTC; muelleki,"Hadley Wickham [aut],
Kirill Müller [cre],
RStudio [cph]",Kirill Müller <krlmlr+r@mailbox.org>,CRAN,2018-03-25 15:30:26 UTC,2018-03-28 17:31:05,2018-03-25T14:30:26+00:00,d30b62fbb81b7c61593043f2e67b4a6f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blob,"A Simple S3 Class for Representing Vectors of Binary Data
('BLOBS')",1.2.0,"
c(person(given = ""Hadley"",
family = ""Wickham"",
role = ""aut""),
person(given = ""Kirill"",
family = ""Müller"",
role = ""cre"",
email = ""krlmlr+r@mailbox.org""),
person(given = ""RStudio"",
role = ""cph""))","R's raw vector is useful for storing a single
binary object.  What if you want to put a vector of them in a data
frame? The 'blob' package provides the blob object, a list of raw
vectors, suitable for use as a column in data frame.",GPL-3,UTF-8,true,https://github.com/tidyverse/blob,https://github.com/tidyverse/blob/issues,6.1.1,no,2019-07-09 09:30:03 UTC; kirill,"Hadley Wickham [aut],
Kirill Müller [cre],
RStudio [cph]",Kirill Müller <krlmlr+r@mailbox.org>,CRAN,2019-07-09 11:40:03 UTC,2019-07-09 13:56:22,2019-07-09T10:40:03+00:00,43d9d80b6217e6de6ebfdb7a072bd52f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contribution,A Tiny Contribution Table Generator Based on 'ggplot2',0.1.0,"c(person(""Shixiang"", ""Wang"", email = ""w_shixiang@163.com"", role = c(""aut"", ""cre""),
comment = c(ORCID = ""0000-0001-9855-7357"")))","Contribution table for credit assignment based on 'ggplot2'.
This can improve the author contribution information in academic journals and personal CV.",MIT + file LICENSE,UTF-8,true,https://github.com/ShixiangWang/contribution,https://github.com/ShixiangWang/contribution/issues,6.1.1,no,2019-07-13 04:19:34 UTC; wsx,"Shixiang Wang [aut, cre] (<https://orcid.org/0000-0001-9855-7357>)",Shixiang Wang <w_shixiang@163.com>,CRAN,2019-07-18 06:37:26 UTC,2019-07-18 08:20:25,2019-07-18T05:37:26+00:00,6ab44b4909bdb254c79d1226b7d430d9,Package,knitr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbplyr,A 'dplyr' Back End for Databases,1.0.0,"c(
person(""Hadley"", ""Wickham"", , ""hadley@rstudio.com"", c(""aut"", ""cre"")),
person(""RStudio"", role = c(""cph"", ""fnd""))
)","A 'dplyr' back end for databases that allows you to work with
remote database tables as if they are in-memory data frames. Basic features
works with any database that has a 'DBI' back end; more advanced features
require 'SQL' translation to be provided by the package author.",MIT + file LICENSE,NA,yes,https://github.com/tidyverse/dbplyr,https://github.com/tidyverse/dplyr/issues,6.0.1,no,2017-06-06 22:47:52 UTC; hadley,"Hadley Wickham [aut, cre],
RStudio [cph, fnd]",Hadley Wickham <hadley@rstudio.com>,CRAN,2017-06-09 11:08:30 UTC,2017-06-09 11:11:51,2017-06-09T10:08:30+00:00,3b27698bd392fee41f38a13103f2d592,Package,knitr,"'cache.r' 'compat-purrr.R' 'data-lahman.r'
'data-nycflights13.r' 'db-compute.R' 'db-mysql.r'
'db-odbc-hive.R' 'db-odbc-impala.R' 'db-odbc-mssql.R'
'db-postgres.r' 'db-sqlite.r' 'dbi-s3.r' 'dbplyr.R' 'do.r'
'explain.r' 'ident.R' 'lazy-ops.R' 'memdb.R' 'partial-eval.r'
'query.r' 'schema.R' 'simulate.r' 'sql-build.R' 'sql-escape.r'
'sql-generic.R' 'sql-optimise.R' 'sql-query.R' 'sql-render.R'
'sql.R' 'src-sql.r' 'src_dbi.R' 'tbl-lazy.R' 'tbl-sql.r'
'test-frame.R' 'testthat.r' 'translate-sql-helpers.r'
'translate-sql-window.r' 'translate-sql-base.r'
'translate-sql-odbc.R' 'translate-sql.r' 'utils-format.r'
'utils.r' 'zzz.R'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbplyr,A 'dplyr' Back End for Databases,1.1.0,"c(
person(""Hadley"", ""Wickham"", , ""hadley@rstudio.com"", c(""aut"", ""cre"")),
person(""RStudio"", role = c(""cph"", ""fnd""))
)","A 'dplyr' back end for databases that allows you to work with
remote database tables as if they are in-memory data frames. Basic features
works with any database that has a 'DBI' back end; more advanced features
require 'SQL' translation to be provided by the package author.",MIT + file LICENSE,NA,yes,https://github.com/tidyverse/dbplyr,https://github.com/tidyverse/dplyr/issues,6.0.1,no,2017-06-26 19:19:44 UTC; hadley,"Hadley Wickham [aut, cre],
RStudio [cph, fnd]",Hadley Wickham <hadley@rstudio.com>,CRAN,2017-06-27 06:55:24 UTC,2017-06-27 06:59:52,2017-06-27T05:55:24+00:00,a66a08d1046e3e44bfe17e65ce72a1d0,Package,knitr,"'cache.r' 'compat-purrr.R' 'data-lahman.r'
'data-nycflights13.r' 'db-compute.R' 'db-mysql.r'
'db-odbc-hive.R' 'db-odbc-impala.R' 'db-odbc-mssql.R'
'db-odbc-oracle.R' 'db-odbc-postgres.R' 'db-postgres.r'
'db-sqlite.r' 'dbi-s3.r' 'dbplyr.R' 'do.r' 'explain.r'
'ident.R' 'lazy-ops.R' 'memdb.R' 'partial-eval.r' 'query.r'
'schema.R' 'simulate.r' 'sql-build.R' 'sql-escape.r'
'sql-generic.R' 'sql-optimise.R' 'sql-query.R' 'sql-render.R'
'sql.R' 'src-sql.r' 'src_dbi.R' 'tbl-lazy.R' 'tbl-sql.r'
'test-frame.R' 'testthat.r' 'translate-sql-helpers.r'
'translate-sql-window.r' 'translate-sql-base.r'
'translate-sql-clause.r' 'translate-sql-odbc.R'
'translate-sql.r' 'utils-format.r' 'utils.r' 'window.R' 'zzz.R'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbplyr,A 'dplyr' Back End for Databases,1.2.0,"c(
person(""Hadley"", ""Wickham"", , ""hadley@rstudio.com"", c(""aut"", ""cre"")),
person(""Edgar"", ""Ruiz"", role = ""aut""),
person(""RStudio"", role = c(""cph"", ""fnd""))
)","A 'dplyr' back end for databases that allows you to work with
remote database tables as if they are in-memory data frames. Basic features
works with any database that has a 'DBI' back end; more advanced features
require 'SQL' translation to be provided by the package author.",MIT + file LICENSE,NA,yes,https://github.com/tidyverse/dbplyr,https://github.com/tidyverse/dplyr/issues,6.0.1,no,2017-12-29 18:11:29 UTC; hadley,"Hadley Wickham [aut, cre],
Edgar Ruiz [aut],
RStudio [cph, fnd]",Hadley Wickham <hadley@rstudio.com>,CRAN,2018-01-03 13:35:30 UTC,2018-01-03 13:39:04,2018-01-03T12:35:30+00:00,"c7611766fe1fa634cd7251edf0facf56
",Package,knitr,"'cache.r' 'compat-purrr.R' 'data-lahman.r'
'data-nycflights13.r' 'db-compute.R' 'db-mysql.r'
'db-odbc-access.R' 'db-odbc-hive.R' 'db-odbc-impala.R'
'db-odbc-mssql.R' 'db-odbc-oracle.R' 'db-odbc-redshift.R'
'db-odbc-teradata.R' 'db-postgres.r' 'db-roracle.R'
'db-sqlite.r' 'dbi-s3.r' 'dbplyr.R' 'do.r' 'explain.r'
'utils.r' 'ident.R' 'lazy-ops.R' 'memdb.R' 'partial-eval.r'
'query.r' 'remote.R' 'schema.R' 'simulate.r' 'sql-build.R'
'sql-escape.r' 'sql-expr.R' 'sql-generic.R' 'sql-optimise.R'
'sql-query.R' 'sql-render.R' 'sql.R' 'src-sql.r' 'src_dbi.R'
'tbl-lazy.R' 'tbl-sql.r' 'test-frame.R' 'testthat.r'
'translate-sql-helpers.r' 'translate-sql-window.r'
'translate-sql-base.r' 'translate-sql-clause.r'
'translate-sql-odbc.R' 'translate-sql-paste.R'
'translate-sql.r' 'utils-format.r' 'window.R' 'zzz.R'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbplyr,A 'dplyr' Back End for Databases,1.2.1,"c(
person(""Hadley"", ""Wickham"", , ""hadley@rstudio.com"", c(""aut"", ""cre"")),
person(""Edgar"", ""Ruiz"", role = ""aut""),
person(""RStudio"", role = c(""cph"", ""fnd""))
)","A 'dplyr' back end for databases that allows you to work with
remote database tables as if they are in-memory data frames. Basic features
works with any database that has a 'DBI' back end; more advanced features
require 'SQL' translation to be provided by the package author.",MIT + file LICENSE,NA,yes,https://github.com/tidyverse/dbplyr,https://github.com/tidyverse/dplyr/issues,6.0.1,no,2018-02-19 15:55:28 UTC; hadley,"Hadley Wickham [aut, cre],
Edgar Ruiz [aut],
RStudio [cph, fnd]",Hadley Wickham <hadley@rstudio.com>,CRAN,2018-02-19 19:40:06 UTC,2018-02-19 19:50:25,2018-02-19T18:40:06+00:00,"3132707768f771374209ae65fd9055de
",Package,knitr,"'cache.r' 'compat-purrr.R' 'data-lahman.r'
'data-nycflights13.r' 'db-compute.R' 'db-mysql.r'
'db-odbc-access.R' 'db-odbc-hive.R' 'db-odbc-impala.R'
'db-odbc-mssql.R' 'db-odbc-oracle.R' 'db-odbc-redshift.R'
'db-odbc-teradata.R' 'db-postgres.r' 'db-roracle.R'
'db-sqlite.r' 'dbi-s3.r' 'dbplyr.R' 'do.r' 'explain.r'
'utils.r' 'ident.R' 'lazy-ops.R' 'memdb.R' 'partial-eval.r'
'query.r' 'remote.R' 'schema.R' 'simulate.r' 'sql-build.R'
'sql-escape.r' 'sql-expr.R' 'sql-generic.R' 'sql-optimise.R'
'sql-query.R' 'sql-render.R' 'sql.R' 'src-sql.r' 'src_dbi.R'
'tbl-lazy.R' 'tbl-sql.r' 'test-frame.R' 'testthat.r'
'translate-sql-helpers.r' 'translate-sql-window.r'
'translate-sql-base.r' 'translate-sql-clause.r'
'translate-sql-odbc.R' 'translate-sql-paste.R'
'translate-sql.r' 'utils-format.r' 'window.R' 'zzz.R'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbplyr,A 'dplyr' Back End for Databases,1.2.2,"c(
person(""Hadley"", ""Wickham"", , ""hadley@rstudio.com"", c(""aut"", ""cre"")),
person(""Edgar"", ""Ruiz"", role = ""aut""),
person(""RStudio"", role = c(""cph"", ""fnd""))
)","A 'dplyr' back end for databases that allows you to work with
remote database tables as if they are in-memory data frames. Basic features
works with any database that has a 'DBI' back end; more advanced features
require 'SQL' translation to be provided by the package author.",MIT + file LICENSE,NA,yes,https://github.com/tidyverse/dbplyr,https://github.com/tidyverse/dplyr/issues,6.0.1.9000,no,2018-07-25 14:25:42 UTC; hadley,"Hadley Wickham [aut, cre],
Edgar Ruiz [aut],
RStudio [cph, fnd]",Hadley Wickham <hadley@rstudio.com>,CRAN,2018-07-25 15:00:03 UTC,2018-07-25 15:02:37,2018-07-25T14:00:03+00:00,"235c957d5912cfc989d0bd44513c2c37
",Package,knitr,"'cache.r' 'compat-purrr.R' 'data-lahman.r'
'data-nycflights13.r' 'db-compute.R' 'db-mysql.r'
'db-odbc-access.R' 'db-odbc-hive.R' 'db-odbc-impala.R'
'db-odbc-mssql.R' 'db-odbc-oracle.R' 'db-odbc-redshift.R'
'db-odbc-teradata.R' 'db-postgres.r' 'db-roracle.R'
'db-sqlite.r' 'dbi-s3.r' 'dbplyr.R' 'do.r' 'explain.r'
'utils.r' 'ident.R' 'lazy-ops.R' 'memdb.R' 'partial-eval.r'
'query.r' 'remote.R' 'schema.R' 'simulate.r' 'sql-build.R'
'sql-escape.r' 'sql-expr.R' 'sql-generic.R' 'sql-optimise.R'
'sql-query.R' 'sql-render.R' 'sql.R' 'src-sql.r' 'src_dbi.R'
'tbl-lazy.R' 'tbl-sql.r' 'test-frame.R' 'testthat.r'
'translate-sql-helpers.r' 'translate-sql-window.r'
'translate-sql-base.r' 'translate-sql-clause.r'
'translate-sql-odbc.R' 'translate-sql-paste.R'
'translate-sql.r' 'utils-format.r' 'window.R' 'zzz.R'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
