owner,repo,cran_urls,primary_url,news_url
tidyverse,ggplot2,"https://ggplot2.tidyverse.org,
https://github.com/tidyverse/ggplot2",https://ggplot2.tidyverse.org,https://ggplot2.tidyverse.org/news/index.html
tidyverse,dplyr,"https://dplyr.tidyverse.org, https://github.com/tidyverse/dplyr",https://dplyr.tidyverse.org,https://dplyr.tidyverse.org/news/index.html
r-lib,devtools,"https://devtools.r-lib.org/, https://github.com/r-lib/devtools",https://devtools.r-lib.org,https://devtools.r-lib.org/news/index.html
tidyverse,rvest,"https://rvest.tidyverse.org/, https://github.com/tidyverse/rvest",https://rvest.tidyverse.org,https://rvest.tidyverse.org/news/index.html
tidymodels,broom,"https://broom.tidymodels.org/, https://github.com/tidymodels/broom",https://broom.tidymodels.org,https://broom.tidymodels.org/news/index.html
tidyverse,tidyverse,"https://tidyverse.tidyverse.org,
https://github.com/tidyverse/tidyverse",https://tidyverse.tidyverse.org,https://tidyverse.tidyverse.org/news/index.html
tidyverse,tidyr,"https://tidyr.tidyverse.org, https://github.com/tidyverse/tidyr",https://tidyr.tidyverse.org,https://tidyr.tidyverse.org/news/index.html
tidyverse,purrr,"http://purrr.tidyverse.org, https://github.com/tidyverse/purrr",http://purrr.tidyverse.org,http://purrr.tidyverse.org/news/index.html
r-lib,httr,"https://httr.r-lib.org/, https://github.com/r-lib/httr",https://httr.r-lib.org,https://httr.r-lib.org/news/index.html
tidyverse,magrittr,"https://magrittr.tidyverse.org,
https://github.com/tidyverse/magrittr",https://magrittr.tidyverse.org,https://magrittr.tidyverse.org/news/index.html
tidyverse,readr,"https://readr.tidyverse.org, https://github.com/tidyverse/readr",https://readr.tidyverse.org,https://readr.tidyverse.org/news/index.html
r-lib,testthat,"https://testthat.r-lib.org, https://github.com/r-lib/testthat",https://testthat.r-lib.org,https://testthat.r-lib.org/news/index.html
r-lib,usethis,"https://usethis.r-lib.org, https://github.com/r-lib/usethis",https://usethis.r-lib.org,https://usethis.r-lib.org/news/index.html
tidyverse,readxl,"https://readxl.tidyverse.org, https://github.com/tidyverse/readxl",https://readxl.tidyverse.org,https://readxl.tidyverse.org/news/index.html
tidyverse,reprex,"https://reprex.tidyverse.org,
https://github.com/tidyverse/reprex#readme",https://reprex.tidyverse.org,https://reprex.tidyverse.org/news/index.html
tidymodels,infer,"https://github.com/tidymodels/infer, https://infer.tidymodels.org/",https://infer.tidymodels.org,https://infer.tidymodels.org/news/index.html
r-lib,pkgdown,"https://pkgdown.r-lib.org, https://github.com/r-lib/pkgdown",https://pkgdown.r-lib.org,https://pkgdown.r-lib.org/news/index.html
tidyverse,lubridate,"https://lubridate.tidyverse.org,
https://github.com/tidyverse/lubridate",https://lubridate.tidyverse.org,https://lubridate.tidyverse.org/news/index.html
