pkg,version,major,date,age
blob,1.0.0,TRUE,2016-12-28,644
blob,1.1.0,TRUE,2017-06-17,473
blob,1.1.1,FALSE,2018-03-28,189
dbplyr,1.0.0,TRUE,2017-06-09,481
dbplyr,1.1.0,TRUE,2017-06-27,463
dbplyr,1.2.0,TRUE,2018-01-03,273
dbplyr,1.2.1,FALSE,2018-02-19,226
dbplyr,1.2.2,FALSE,2018-07-25,70
dplyr,0.1,TRUE,2014-01-16,1721
dplyr,0.1.1,FALSE,2014-01-29,1708
dplyr,0.1.2,FALSE,2014-02-24,1682
dplyr,0.1.3,FALSE,2014-03-14,1664
dplyr,0.2,TRUE,2014-05-21,1596
dplyr,0.3,TRUE,2014-10-04,1460
dplyr,0.3.0.1,TRUE,2014-10-07,1457
dplyr,0.3.0.2,TRUE,2014-10-11,1453
dplyr,0.4.0,TRUE,2015-01-08,1364
dplyr,0.4.1,FALSE,2015-01-14,1358
dplyr,0.4.2,FALSE,2015-06-16,1205
dplyr,0.4.3,FALSE,2015-09-01,1128
dplyr,0.5.0,TRUE,2016-06-24,831
dplyr,0.7.0,TRUE,2017-06-09,481
dplyr,0.7.1,FALSE,2017-06-22,468
dplyr,0.7.2,FALSE,2017-07-20,440
dplyr,0.7.3,FALSE,2017-09-09,389
dplyr,0.7.4,FALSE,2017-09-28,370
dplyr,0.7.5,FALSE,2018-05-19,137
dplyr,0.7.6,FALSE,2018-06-29,96
forcats,0.1.0,TRUE,2016-08-29,765
forcats,0.1.1,FALSE,2016-09-15,748
forcats,0.2.0,TRUE,2017-01-25,616
forcats,0.3.0,TRUE,2018-02-19,226
ggplot2,0.5,TRUE,2007-06-01,4142
ggplot2,0.5.1,FALSE,2007-06-10,4133
ggplot2,0.5.2,FALSE,2007-06-18,4125
ggplot2,0.5.4,FALSE,2007-07-08,4105
ggplot2,0.5.5,FALSE,2007-09-01,4050
ggplot2,0.5.6,FALSE,2007-10-20,4001
ggplot2,0.5.7,FALSE,2008-01-11,3918
ggplot2,0.6,TRUE,2008-04-03,3835
ggplot2,0.7,TRUE,2008-10-05,3650
ggplot2,0.8,TRUE,2008-11-21,3603
ggplot2,0.8.1,FALSE,2008-12-14,3580
ggplot2,0.8.2,FALSE,2009-02-25,3507
ggplot2,0.8.3,FALSE,2009-04-20,3453
ggplot2,0.8.4,FALSE,2009-12-09,3220
ggplot2,0.8.5,FALSE,2009-12-16,3213
ggplot2,0.8.6,FALSE,2010-02-18,3149
ggplot2,0.8.7,FALSE,2010-03-02,3137
ggplot2,0.8.8,FALSE,2010-07-05,3012
ggplot2,0.8.9,FALSE,2010-12-23,2841
ggplot2,0.9.0,TRUE,2012-03-01,2407
ggplot2,0.9.1,FALSE,2012-05-07,2340
ggplot2,0.9.2,FALSE,2012-09-04,2220
ggplot2,0.9.2.1,FALSE,2012-09-11,2213
ggplot2,0.9.3,FALSE,2012-12-05,2128
ggplot2,0.9.3.1,FALSE,2013-03-02,2041
ggplot2,1.0.0,TRUE,2014-05-21,1596
ggplot2,1.0.1,FALSE,2015-03-17,1296
ggplot2,2.0.0,TRUE,2015-12-18,1020
ggplot2,2.1.0,TRUE,2016-03-01,946
ggplot2,2.2.0,TRUE,2016-11-11,691
ggplot2,2.2.1,FALSE,2016-12-30,642
ggplot2,3.0.0,TRUE,2018-07-03,92
glue,1.0.0,TRUE,2017-04-17,534
glue,1.1.0,TRUE,2017-06-13,477
glue,1.1.1,FALSE,2017-06-21,469
glue,1.2.0,TRUE,2017-10-29,339
glue,1.3.0,TRUE,2018-07-17,78
googledrive,0.1.1,FALSE,2017-08-28,401
haven,0.1.0,TRUE,2015-03-01,1312
haven,0.1.1,FALSE,2015-03-03,1310
haven,0.2.0,TRUE,2015-04-08,1274
haven,0.2.1,FALSE,2016-07-19,806
haven,1.0.0,TRUE,2016-09-23,740
haven,1.1.0,TRUE,2017-07-09,451
haven,1.1.1,FALSE,2018-01-18,258
haven,1.1.2,FALSE,2018-06-27,98
hms,0.1,TRUE,2016-05-02,884
hms,0.2,TRUE,2016-06-17,838
hms,0.3,TRUE,2016-11-22,680
hms,0.4.0,TRUE,2017-11-23,314
hms,0.4.1,FALSE,2018-01-24,252
hms,0.4.2,FALSE,2018-03-10,207
lubridate,0.1,TRUE,2010-08-15,2971
lubridate,0.2,TRUE,2010-10-26,2899
lubridate,0.2.1,FALSE,2010-11-03,2891
lubridate,0.2.2,FALSE,2010-11-17,2877
lubridate,0.2.3,FALSE,2010-12-09,2855
lubridate,0.2.4,FALSE,2011-04-05,2738
lubridate,0.2.5,FALSE,2011-05-12,2701
lubridate,0.2.6,FALSE,2012-01-10,2458
lubridate,1.1.0,TRUE,2012-03-05,2403
lubridate,1.2.0,TRUE,2012-10-04,2190
lubridate,1.3.0,TRUE,2013-09-20,1839
lubridate,1.3.1,FALSE,2013-10-31,1798
lubridate,1.3.2,FALSE,2013-12-05,1763
