pkg,version,major,date
blob,1.0.0,TRUE,2016-12-28
blob,1.1.0,TRUE,2017-06-17
blob,1.1.1,FALSE,2018-03-28
blob,1.2.0,TRUE,2019-07-09
blob,1.2.1,FALSE,2020-01-21
dbplyr,1.0.0,TRUE,2017-06-09
dbplyr,1.1.0,TRUE,2017-06-27
dbplyr,1.2.0,TRUE,2018-01-03
dbplyr,1.2.1,FALSE,2018-02-19
dbplyr,1.2.2,FALSE,2018-07-25
dbplyr,1.3.0,TRUE,2019-01-09
dbplyr,1.4.0,TRUE,2019-04-23
dbplyr,1.4.1,FALSE,2019-06-06
dbplyr,1.4.2,FALSE,2019-06-17
dbplyr,1.4.3,FALSE,2020-04-19
dbplyr,1.4.4,FALSE,2020-05-27
dbplyr,2.0.0,TRUE,2020-11-03
dplyr,0.1,TRUE,2014-01-16
dplyr,0.1.1,FALSE,2014-01-29
dplyr,0.1.2,FALSE,2014-02-24
dplyr,0.1.3,FALSE,2014-03-14
dplyr,0.2,TRUE,2014-05-21
dplyr,0.3,TRUE,2014-10-04
dplyr,0.3.0.1,TRUE,2014-10-07
dplyr,0.3.0.2,TRUE,2014-10-11
dplyr,0.4.0,TRUE,2015-01-08
dplyr,0.4.1,FALSE,2015-01-14
dplyr,0.4.2,FALSE,2015-06-16
dplyr,0.4.3,FALSE,2015-09-01
dplyr,0.5.0,TRUE,2016-06-24
dplyr,0.7.0,TRUE,2017-06-09
dplyr,0.7.1,FALSE,2017-06-22
dplyr,0.7.2,FALSE,2017-07-20
dplyr,0.7.3,FALSE,2017-09-09
dplyr,0.7.4,FALSE,2017-09-28
dplyr,0.7.5,FALSE,2018-05-19
dplyr,0.7.6,FALSE,2018-06-29
dplyr,0.7.7,FALSE,2018-10-16
dplyr,0.7.8,FALSE,2018-11-10
dplyr,0.8.0,TRUE,2019-02-14
dplyr,0.8.0.1,TRUE,2019-02-15
dplyr,0.8.1,FALSE,2019-05-14
dplyr,0.8.2,FALSE,2019-06-29
dplyr,0.8.3,FALSE,2019-07-04
dplyr,0.8.4,FALSE,2020-01-31
dplyr,0.8.5,FALSE,2020-03-07
dplyr,1.0.0,TRUE,2020-05-29
dplyr,1.0.1,FALSE,2020-07-31
dplyr,1.0.2,FALSE,2020-08-18
dtplyr,0.0.1,FALSE,2016-06-27
dtplyr,0.0.2,FALSE,2017-04-21
dtplyr,0.0.3,FALSE,2019-02-25
dtplyr,1.0.0,TRUE,2019-11-12
dtplyr,1.0.1,FALSE,2020-01-23
dtplyr,0.0.1,FALSE,2016-06-27
dtplyr,0.0.2,FALSE,2017-04-21
dtplyr,0.0.3,FALSE,2019-02-25
dtplyr,1.0.0,TRUE,2019-11-12
dtplyr,1.0.1,FALSE,2020-01-23
forcats,0.1.0,TRUE,2016-08-29
forcats,0.1.1,FALSE,2016-09-15
forcats,0.2.0,TRUE,2017-01-25
forcats,0.3.0,TRUE,2018-02-19
forcats,0.4.0,TRUE,2019-02-17
forcats,0.5.0,TRUE,2020-03-01
ggplot2,0.5,TRUE,2007-06-01
ggplot2,0.5.1,FALSE,2007-06-10
ggplot2,0.5.2,FALSE,2007-06-18
ggplot2,0.5.4,FALSE,2007-07-08
ggplot2,0.5.5,FALSE,2007-09-01
ggplot2,0.5.6,FALSE,2007-10-20
ggplot2,0.5.7,FALSE,2008-01-11
ggplot2,0.6,TRUE,2008-04-03
ggplot2,0.7,TRUE,2008-10-05
ggplot2,0.8,TRUE,2008-11-21
ggplot2,0.8.1,FALSE,2008-12-14
ggplot2,0.8.2,FALSE,2009-02-25
ggplot2,0.8.3,FALSE,2009-04-20
ggplot2,0.8.4,FALSE,2009-12-09
ggplot2,0.8.5,FALSE,2009-12-16
ggplot2,0.8.6,FALSE,2010-02-18
ggplot2,0.8.7,FALSE,2010-03-02
ggplot2,0.8.8,FALSE,2010-07-05
ggplot2,0.8.9,FALSE,2010-12-23
ggplot2,0.9.0,TRUE,2012-03-01
ggplot2,0.9.1,FALSE,2012-05-07
ggplot2,0.9.2,FALSE,2012-09-04
