owner,repo,contributor,commits,repo_contributor_count
tidyverse,blob,krlmlr,130,4
tidyverse,blob,hadley,24,4
tidyverse,blob,batpigandme,2,4
tidyverse,blob,jimhester,1,4
tidyverse,dbplyr,hadley,1900,104
tidyverse,dbplyr,romainfrancois,648,104
tidyverse,dbplyr,krlmlr,127,104
tidyverse,dbplyr,lionel-,101,104
tidyverse,dbplyr,edgararuiz,37,104
tidyverse,dbplyr,hannesmuehleisen,24,104
tidyverse,dbplyr,colearendt,23,104
tidyverse,dbplyr,lindbrook,17,104
tidyverse,dbplyr,jimhester,16,104
tidyverse,dbplyr,batpigandme,15,104
tidyverse,dbplyr,kevinushey,10,104
tidyverse,dbplyr,ilarischeinin,7,104
tidyverse,dbplyr,javierluraschi,7,104
tidyverse,dbplyr,sfirke,6,104
tidyverse,dbplyr,cosinequanon,6,104
tidyverse,dbplyr,leondutoit,5,104
tidyverse,dbplyr,arunsrinivasan,4,104
tidyverse,dbplyr,cderv,4,104
tidyverse,dbplyr,eibanez,4,104
tidyverse,dbplyr,pimentel,4,104
tidyverse,dbplyr,zeehio,4,104
tidyverse,dbplyr,jennybc,4,104
tidyverse,dbplyr,rbdixon,3,104
tidyverse,dbplyr,imanuelcostigan,3,104
tidyverse,dbplyr,austenhead,3,104
tidyverse,dbplyr,DavisVaughan,2,104
tidyverse,dbplyr,derekmorr,2,104
tidyverse,dbplyr,earino,2,104
tidyverse,dbplyr,edwindj,2,104
tidyverse,dbplyr,ianmcook,2,104
tidyverse,dbplyr,kevinykuo,2,104
tidyverse,dbplyr,justmarkham,2,104
tidyverse,dbplyr,zozlak,2,104
tidyverse,dbplyr,mkuhn,2,104
tidyverse,dbplyr,mkearney,2,104
tidyverse,dbplyr,uribo,2,104
tidyverse,dbplyr,mtoto,2,104
tidyverse,dbplyr,xiaodaigh,2,104
tidyverse,dbplyr,shabbybanks,2,104
tidyverse,dbplyr,dpprdan,2,104
tidyverse,dbplyr,aaronwolen,1,104
tidyverse,dbplyr,ateucher,1,104
tidyverse,dbplyr,cpsievert,1,104
tidyverse,dbplyr,ajdamico,1,104
tidyverse,dbplyr,cjyetman,1,104
tidyverse,dbplyr,chappers,1,104
tidyverse,dbplyr,cwarden,1,104
tidyverse,dbplyr,chrMongeau,1,104
tidyverse,dbplyr,craigcitro,1,104
tidyverse,dbplyr,denismaciel,1,104
tidyverse,dbplyr,davidchall,1,104
tidyverse,dbplyr,davidkretch,1,104
tidyverse,dbplyr,dgrtwo,1,104
tidyverse,dbplyr,cb4ds,1,104
tidyverse,dbplyr,ethanwhite,1,104
tidyverse,dbplyr,saurfang,1,104
tidyverse,dbplyr,FvD,1,104
tidyverse,dbplyr,garrettgman,1,104
tidyverse,dbplyr,nachti,1,104
tidyverse,dbplyr,gergness,1,104
tidyverse,dbplyr,gregrahn,1,104
tidyverse,dbplyr,itcarroll,1,104
tidyverse,dbplyr,jrnold,1,104
tidyverse,dbplyr,jcheng5,1,104
tidyverse,dbplyr,jonassundman,1,104
tidyverse,dbplyr,joranE,1,104
tidyverse,dbplyr,casallas,1,104
tidyverse,dbplyr,jentjr,1,104
tidyverse,dbplyr,karldw,1,104
tidyverse,dbplyr,kirillseva,1,104
tidyverse,dbplyr,LluisRamon,1,104
tidyverse,dbplyr,mungojam,1,104
tidyverse,dbplyr,sandan,1,104
tidyverse,dbplyr,washcycle,1,104
tidyverse,dbplyr,mattle24,1,104
tidyverse,dbplyr,mgirlich,1,104
tidyverse,dbplyr,mnel,1,104
tidyverse,dbplyr,mkuehn10,1,104
tidyverse,dbplyr,mdsumner,1,104
tidyverse,dbplyr,mtreadwell,1,104
tidyverse,dbplyr,mine-cetinkaya-rundel,1,104
tidyverse,dbplyr,nhanitvn,1,104
tidyverse,dbplyr,paulstaab,1,104
tidyverse,dbplyr,robertzk,1,104
tidyverse,dbplyr,Robinlovelace,1,104
tidyverse,dbplyr,russellpierce,1,104
tidyverse,dbplyr,StevenMMortimer,1,104
tidyverse,dbplyr,tcarnus,1,104
tidyverse,dbplyr,tdsmith,1,104
tidyverse,dbplyr,wibeasley,1,104
tidyverse,dbplyr,sverchkov,1,104
tidyverse,dbplyr,zachary-foster,1,104
tidyverse,dbplyr,pachevalier,1,104
tidyverse,dbplyr,eipi10,1,104
tidyverse,dbplyr,agable-vt,1,104
tidyverse,dbplyr,harrismcgehee,1,104
tidyverse,dbplyr,hoxo-m,1,104
tidyverse,dbplyr,hs3180,1,104
tidyverse,dbplyr,klmedeiros,1,104
tidyverse,dbplyr,mnfn,1,104
tidyverse,dbplyr,shea-parkes,1,104
tidyverse,dbplyr,shearerp,1,104
tidyverse,dbplyr,teramonagi,1,104
tidyverse,dbplyr,yutannihilation,1,104
tidyverse,design,hadley,149,12
tidyverse,design,jennybc,13,12
tidyverse,design,batpigandme,3,12
tidyverse,design,lionel-,2,12
tidyverse,design,tmstauss,2,12
tidyverse,design,ewv88,1,12
tidyverse,design,katrinleinweber,1,12
tidyverse,design,krlmlr,1,12
tidyverse,design,nealrichardson,1,12
tidyverse,design,salim-b,1,12
tidyverse,design,lindbrook,1,12
tidyverse,design,ppanko,1,12
tidyverse,dplyr,romainfrancois,2664,204
tidyverse,dplyr,hadley,2063,204
tidyverse,dplyr,krlmlr,817,204
tidyverse,dplyr,lionel-,483,204
tidyverse,dplyr,batpigandme,42,204
tidyverse,dplyr,lindbrook,27,204
tidyverse,dplyr,jimhester,25,204
tidyverse,dplyr,hannesmuehleisen,23,204
tidyverse,dplyr,yutannihilation,21,204
tidyverse,dplyr,kevinushey,14,204
tidyverse,dplyr,jennybc,14,204
tidyverse,dplyr,ilarischeinin,9,204
tidyverse,dplyr,zeehio,8,204
tidyverse,dplyr,s-fleck,8,204
tidyverse,dplyr,billdenney,8,204
tidyverse,dplyr,sfirke,8,204
tidyverse,dplyr,javierluraschi,6,204
tidyverse,dplyr,cosinequanon,6,204
tidyverse,dplyr,leondutoit,6,204
tidyverse,dplyr,cderv,5,204
tidyverse,dplyr,ianmcook,5,204
tidyverse,dplyr,earowang,5,204
tidyverse,dplyr,arunsrinivasan,4,204
tidyverse,dplyr,DavisVaughan,4,204
tidyverse,dplyr,eibanez,4,204
tidyverse,dplyr,pimentel,4,204
tidyverse,dplyr,maurolepore,4,204
tidyverse,dplyr,coolbutuseless,4,204
tidyverse,dplyr,ajschumacher,3,204
tidyverse,dplyr,bpbond,3,204
tidyverse,dplyr,rbdixon,3,204
tidyverse,dplyr,daattali,3,204
tidyverse,dplyr,filipefilardi,3,204
tidyverse,dplyr,imanuelcostigan,3,204
tidyverse,dplyr,jschelbert,3,204
tidyverse,dplyr,jayhesselberth,3,204
tidyverse,dplyr,mkuhn,3,204
tidyverse,dplyr,ncarchedi,3,204
tidyverse,dplyr,quartin,3,204
tidyverse,dplyr,foo-bar-baz-qux,3,204
tidyverse,dplyr,xiaodaigh,3,204
tidyverse,dplyr,dgromer,3,204
tidyverse,dplyr,markdly,3,204
tidyverse,dplyr,ajdamico,2,204
tidyverse,dplyr,austenhead,2,204
tidyverse,dplyr,aadler,2,204
tidyverse,dplyr,benmarwick,2,204
tidyverse,dplyr,earino,2,204
tidyverse,dplyr,edwindj,2,204
tidyverse,dplyr,ethanwhite,2,204
tidyverse,dplyr,saurfang,2,204
tidyverse,dplyr,gergness,2,204
tidyverse,dplyr,jrnold,2,204
tidyverse,dplyr,jonthegeek,2,204
tidyverse,dplyr,karldw,2,204
tidyverse,dplyr,kenahoo,2,204
tidyverse,dplyr,justmarkham,2,204
tidyverse,dplyr,sandan,2,204
tidyverse,dplyr,mnel,2,204
tidyverse,dplyr,Nick-Rivera,2,204
tidyverse,dplyr,npjc,2,204
tidyverse,dplyr,pkq,2,204
tidyverse,dplyr,uribo,2,204
tidyverse,dplyr,sinarueeger,2,204
tidyverse,dplyr,tklebel,2,204
tidyverse,dplyr,zachary-foster,2,204
