contributor,tot_commits
hadley,23479
krlmlr,6809
jimhester,5196
gaborcsardi,4831
lionel-,4751
topepo,3810
romainfrancois,3277
wch,2198
jennybc,1977
bnoordhuis,1213
lorenzwalthert,997
piscisaureus,675
vspinu,627
DavisVaughan,626
garrettgman,608
ismayc,591
jeroen,530
saghul,405
ry,337
alexpghayes,278
kohske,272
klutometis,242
andrewpbray,236
yihui,236
batpigandme,225
LucyMcGowan,206
kevinushey,179
nteetor,154
dgrtwo,138
JackStat,134
jayhesselberth,126
thomasp85,124
jcheng5,123
indutny,119
smbache,119
dpseidel,117
EmilHvitfeldt,108
craigcitro,106
zachmayer,105
hannesmuehleisen,103
jiho,99
mllg,95
cjihrig,82
fbchow,78
jrnold,78
devbww,73
yutannihilation,70
tjfontaine,69
echasnovski,67
karawoo,67
lindbrook,65
andrie,63
dchiu911,63
brodieG,58
devjgm,58
clauswilke,56
hadjipantelis,56
wibeasley,55
BrianDiggs,53
terrytangyuan,53
yixuan,51
fangly,50
Geoff99,48
rmflight,48
anhqle,46
crowding,44
HenrikBengtsson,44
dougmitarotonda,43
ijlyttle,43
EdwinTh,42
jBarz,42
edgararuiz,40
jeffreyhorner,40
karl-forner-quartz-bio,40
mdlincoln,37
npjc,37
jonmcalder,34
zeehio,34
thrasibule,32
bpbond,31
cderv,31
jefferis,30
nathangoulding,30
hughjonesd,29
santigimeno,29
chinqw,28
isaacs,28
richierocks,28
txdv,28
robertzk,27
trevorld,27
bzoz,26
jgabry,26
jmcphers,26
larmarange,26
ilarischeinin,25
lepennec,24
yoni,24
imanuelcostigan,23
bbolker,22
ClaytonJY,22
JakeRuss,22
beanumber,21
bradking,21
erickt,21
javierluraschi,20
hrbrmstr,19
joranE,19
bborgesr,18
billdenney,18
edwindj,18
ncarchedi,18
nealrichardson,18
pkq,18
schlamar,18
briandk,17
egnha,17
hmalmedal,17
hoesler,17
lev-kuznetsov,17
az0,16
jranke,16
aaronwolen,15
adrtod,15
asardaes,15
christophsax,15
cosinequanon,15
DanRuderman,15
dashaub,15
HenryRawas,15
kirillseva,15
sfirke,15
tbates,15
uribo,15
imran-iq,14
jedisct1,14
JoFrhwld,14
mmalecki,14
mscdex,14
orangemocha,14
rudeboybert,14
stevepeak,14
daattali,13
eibanez,13
leondutoit,13
maelle,13
markdly,13
renozao,13
richfitz,13
timelyportfolio,13
zerhacken,13
arunsrinivasan,12
AvianFlu,12
bquast,12
coolbutuseless,12
jjallaire,12
karldw,12
lawremi,12
michaelquinn32,12
mikmart,12
alexcrichton,11
benmarwick,11
jonclayden,11
MatthieuStigler,11
mkuehn10,11
mkuhn,11
noamross,11
patperry,11
pmur002,11
randy3k,11
saurfang,11
tjmahr,11
zhilongjia,11
artemklevtsov,10
artichaud1,10
ashander,10
baptiste,10
Bogstag,10
dandermotj,10
davidgohel,10
dirkschumacher,10
earino,10
flying-sheep,10
foo-bar-baz-qux,10
gergness,10
has2k1,10
jknowles,10
kalibera,10
krytarowski,10
mbojan,10
medinali,10
nbenn,10
nutterb,10
peternowee,10
pierreroudier,10
pimentel,10
PirateGrunt,10
renkun-ken,10
rmustacc,10
s-fleck,10
vtjnash,10
bbrewington,9
cancandan,9
Enchufa2,9
evanmiller,9
Ironholds,9
lawwu,9
LluisRamon,9
maurolepore,9
mvculp,9
russellpierce,9
schloerke,9
sietse,9
tonytonov,9
ateucher,8
bastistician,8
etiennebr,8
gagern,8
gnustats,8
jameslamb,8
jorangreef,8
kevinykuo,8
kthelgason,8
maxheld83,8
mine-cetinkaya-rundel,8
QuLogic,8
seth,8
tklebel,8
trevnorris,8
zozlak,8
bfgray3,7
Bisaloo,7
brentonk,7
BrianWeinstein,7
cboettig,7
corybrunson,7
dgromer,7
dpastoor,7
dpprdan,7
DrPizza,7
gagolews,7
ianmcook,7
japj,7
jirkalewandowski,7
kenahoo,7
luislavena,7
mitchelloharawild,7
mkobos,7
schoonees,7
seaaan,7
setempler,7
sjp,7
ThierryO,7
wligtenberg,7
xiaodaigh,7
ajdm,6
alyst,6
bajtos,6
cpsievert,6
cwickham,6
DanielLockau-MLPA,6
dvmlls,6
eddelbuettel,6
gregrs-uk,6
holstius,6
jarodmeng,6
jasonelaw,6
joaocgreis,6
johncollins,6
karthik,6
katrinleinweber,6
Keno,6
kforner,6
lucab,6
michaelweylandt,6
mnel,6
mtmorgan,6
mvkorpel,6
okuoku,6
paulstaab,6
peterfoley605,6
pierucci,6
rbdixon,6
realAkhmed,6
recp,6
refack,6
schistyakov,6
strongh,6
takluyver,6
thisisnic,6
yiufung,6
ajschumacher,5
asnr,5
astamm,5
austenhead,5
BenjaK,5
burchill,5
casallas,5
christophergandrud,5
davharris,5
djacobs7,5
dlebauer,5
fmichonneau,5
FvD,5
grahamrp,5
helix123,5
HughParsonage,5
jdblischak,5
kazuya030,5
lgatto,5
llrs,5
lmullen,5
m-dz,5
mattn,5
mgirlich,5
mneumann,5
nicksolomon,5
osorensen,5
overmar,5
pteetor,5
seankross,5
shabbybanks,5
shrektan,5
smsaladi,5
tdhock,5
tmshn,5
windelinckx,5
yiluheihei,5
ajdamico,4
alberthkcheng,4
alistaire47,4
antoine-lizee,4
bearloga,4
briatte,4
csgillespie,4
danbev,4
davidmorrison,4
djmurphy420,4
dkesh,4
dmenne,4
eipi10,4
enbrown,4
fdopen,4
ggrothendieck,4
gireeshpunathil,4
gorcha,4
goyalmunish,4
grayskripko,4
harrismcgehee,4
hnakamur,4
hoxo-m,4
hs3180,4
infotroph,4
jdagilliland,4
JhossePaul,4
jjchern,4
joethorley,4
joshkatz,4
jph98,4
justmarkham,4
kbroman,4
khotilov,4
kiwiroy,4
leeper,4
maksqwe,4
markriseley,4
matthieugomez,4
njtierney,4
PeteHaitch,4
pgramme,4
prosoitos,4
qgeissmann,4
r2evans,4
rioki,4
rjoomen,4
rlesca01,4
rmsharp,4
sam-github,4
seishun,4
sergeykorop,4
shabbychef,4
skypjack,4
StevenMMortimer,4
tareefk,4
trestletech,4
waywardmonkeys,4
zachary-foster,4
64,3
adibender,3
amcdavid,3
apaprocki,3
atheriel,3
bensoltoff,3
BlueHaunter,3
bschneidr,3
byapparov,3
calid,3
cb4ds,3
ChrisMuir,3
daniel-barnett,3
DarioS,3
davidkretch,3
dewittpe,3
edzer,3
equalsraf,3
espinielli,3
ethanwhite,3
filipefilardi,3
gadenbuie,3
gavinsimpson,3
heckendorfc,3
huftis,3
huxingyi,3
ibc,3
isomorphisms,3
jabranham,3
jankatins,3
jaredk-porch,3
JasonAizkalns,3
jasongin,3
jeffreyhanson,3
jentjr,3
jenzopr,3
jimvine,3
jiwalker-usgs,3
jlburkhead,3
jonocarroll,3
Katiedaisey,3
kendonB,3
kwstat,3
lbusett,3
lhecker,3
LiNk-NY,3
lselzer,3
lukesonnet,3
MarkEdmondson1234,3
markpayneatwork,3
mawds,3
mbjones,3
md0u80c9,3
mdecorde,3
mdsumner,3
mikelove,3
mmicko,3
mmuurr,3
muschellij2,3
nacnudus,3
pat-s,3
pitakakariki,3
qbit,3
ramnathv,3
rcannood,3
richardlau,3
rmcd1024,3
rorynolan,3
rsaporta,3
rtaph,3
sambrady3,3
sandan,3
scottkosty,3
sjackman,3
skabbes,3
stillmatic,3
t-kalinowski,3
tcarnus,3
thefourtheye,3
theGreatWhiteShark,3
typester,3
veraanadi,3
vermouthmjl,3
wamserma,3
weirubin,3
whitlockjc,3
xrobin,3
yui-knk,3
zhaoy,3
znmeb,3
aadler,2
AdrianHordyk,2
aeklant,2
aghaynes,2
agrueneberg,2
akbertram,2
alkashef,2
AmundsenJunior,2
AndreaCirilloAC,2
andrewdolman,2
ankane,2
apreshill,2
aryoda,2
avalanche123,2
baremetalfreak,2
BarkleyBG,2
bdanalytics,2
beevik,2
bigeasy,2
bjreisman,2
bleutner,2
brendan-r,2
brockf,2
carenas,2
chappers,2
chrMongeau,2
cjyetman,2
coatless,2
ColinFay,2
czeildi,2
daroczig,2
darrkj,2
davidadamsphd,2
defunctzombie,2
deleisha,2
delferts,2
devSJR,2
dfalbel,2
dongzhuoer,2
dragosmg,2
duju211,2
dvv,2
dylan-stark,2
elben10,2
ellisvalentiner,2
emojiencoding,2
erikdubbelboer,2
erleholgersen,2
erocoar,2
ezequielpaura,2
floriandeboissieu,2
froh,2
fxdlmatt,2
gdequeiroz,2
geertj,2
gitter-badger,2
goffrie,2
gokceneraslan,2
goldingn,2
gregmacfarlane,2
GregoireGauriot,2
gregrahn,2
hansthompson,2
haozhu233,2
helske,2
Hinidu,2
hoehleatsu,2
HungMingWu,2
itcarroll,2
izahn,2
j450h1,2
jameslairdsmith,2
jgeralnik,2
jhamhader,2
jimrothstein,2
jlegewie,2
jmuhlenkamp,2
jneu,2
joel23888,2
jonboiser,2
jsta,2
jthurner,2
jtilly,2
juliangehring,2
junkka,2
kanishkamisra,2
karissawhiting,2
kbenoit,2
Kevin-M-Smith,2
kmillar,2
kputnam,2
kroggen,2
KZARCA,2
lgierth,2
lianos,2
lwjohnst86,2
martin-mfg,2
martinjhnhadley,2
martinstuder,2
mcol,2
mehitabel,2
mhdawson,2
MHenderson,2
michaellevy,2
mikefc,2
mjskay,2
MMohey,2
mnfn,2
mnwright,2
moodymudskipper,2
moteus,2
mpadge,2
mpancia,2
mrtns,2
msonnabaum,2
mtreadwell,2
mwaldstein,2
nachti,2
namelessjon,2
nebfield,2
nfultz,2
nhanitvn,2
Nick-Rivera,2
nmushell,2
NoahMarconi,2
obastemur,2
OmaymaS,2
onlymee,2
oscardelama,2
pachevalier,2
paul-buerkner,2
pavel-filatov,2
PedramNavid,2
philchalmers,2
philliplab,2
pjpaulpj,2
plantarum,2
potterzot,2
pquerna,2
privefl,2
Qix-,2
raffscallion,2
Ralith,2
ras44,2
rdiaz02,2
rjbgoudie,2
RLesur,2
Robinlovelace,2
russHyde,2
rv-jizzard,2
salim-b,2
seancarmody,2
sgallagher,2
shea-parkes,2
shearerp,2
Shians,2
shimondoodkin,2
siddharthab,2
skomski,2
slowkow,2
snaut,2
stakach,2
starwing,2
staticfloat,2
steveharoz,2
stevensurgnier,2
szilard0,2
teramonagi,2
tereom,2
thughes,2
tigertoes,2
tkelman,2
tobiaskley,2
TooTallNate,2
totogo,2
trondn,2
tverbeke,2
ugexe,2
ujsxn,2
unknownbrackets,2
vcunat,2
vitorbaptista,2
wanderview,2
wankdanker,2
washcycle,2
wavexx,2
wenjie2wang,2
WilDoane,2
